Stylus TG-4,5.56
DMC-LX1,5.40
DMC-LX3,5.32
DMC-LX5,4.71
DMC-LX7,5.1
DMC-LX10,2.73
DMC-LX15,2.73
DMC-LC1,3.933
DMC-LZ2,6.06
DMC-LZ1,6.06
DMC-FX9,6.05
DMC-FX8,6.05
DMC-FX7,6.05
DMC-FX2,6.05
DMC-FZ30,4.73
DMC-FZ20,6.0
DMC-FZ10,5.84
DMC-FZ5,6.0
DMC-FZ3,7.6
DMC-FZ28,5.6
DMC-FX150,4.7
DMC-LX2,4.44
DMC-FZ18,6.1
DMC-FZ35,5.6
DMC-FZ40,5.60
DMC-FZ40 (3:2),5.81
DMC-FZ45,5.60
DMC-FZ45 (3:2),5.81
DMC-FZ50,4.84
DMC-FZ8,6.02
DMC-FZ100,5.60
DMC-FZ100 (3:2),5.81
DMC-FZ200,5.56
DMC-FZ300,5.56
DMC-LX100,2.21
DMC-FZ1000,2.73
DMC-FZ150,5.56
DMC-LF1,4.67
DMC-TZ71,5.58
DMC-TZ61,5.58
DMC-TZ100,2.75
DMC-ZS100,2.75
Pentax Optio 43WR,6.5
Optio 43WR,6.5
Pentax Optio 750Z,4.843
Optio 750Z,4.843
Pentax Optio 555,4.843
Optio 555,4.843
Pentax Optio 550,4.843
Optio 550,4.843
Pentax Optio 450,4.843
Optio 450,4.843
Pentax Optio 33LF,6.563
Optio 33LF,6.563
Pentax Optio 33L,6.563
Optio 33L,6.563
Pentax Optio 230GS,6.563
Optio 230GS,6.563
Pentax Optio 330GS,6.563
Optio 330GS,6.563
Pentax Optio 430,4.85
Optio 430,4.85
GR Digital,4.8
Caplio GX8,4.9
Caplio GX,4.9
Caplio RR30,6.4
GR,1.523
WB2000,5.69
SM-G935F,6.19
Galaxy S7,6.19
Sigma DP1,1.739
DP1,1.739
Sigma DP1 Merrill,1.531
DP1 Merrill,1.531
Sigma DP1S,1.739
DP1S,1.739
Sigma DP1X,1.739
DP1X,1.739
Sigma DP2,1.739
DP2,1.739
Sigma DP2 Merrill,1.531
DP2 Merrill,1.531
Sigma DP2S,1.739
DP2S,1.739
Sigma DP2X,1.739
DP2X,1.739
Sigma DP3 Merrill,1.531
DP3 Merrill,1.531
DSC-R1,1.68
DSC-H1,6.0
DSC-F828,3.933
Cybershot,4.843
Cyber-shot,4.843
DSC-P200,4.8
DSC-P150,4.8
DSC-P100,4.8
DSC-P93,4.8
DSC-W12,4.8
DSC-W7,4.8
DSC-W15,4.8
DSC-W5,4.8
DSC-W1,4.8
DSC-V3,4.843
DSC-V1,4.843
DSC-T1,5.650
DSC-S90,6.5
DSC-ST80,6.5
DSC-S80,6.5
DSC-S60,6.5
DSC-P73,6.5
DSC-RX100,2.73
RX100,2.73
DSC-RX100M2,2.73
RX100 II,2.73
DSC-RX100M3,2.73
RX100 III,2.73
DSC-RX100M4,2.73
RX100 IV,2.73
DSC-RX100M5,2.73
RX100 V,2.73
DSC-HX300,5.58
DSC-HX20V,5.62
Xperia Z3,7.87
DSC-RX10,2.73
RX10,2.73
DSC-RX10M2,2.73
RX10 II,2.73
DSC-RX10M3,2.73
RX10 III,2.73
DSC-RX10M4,2.73
RX10 IV,2.73
DSC-RX1RM2,1
RX1 R II,1
35mm film: full frame,1
Crop-factor 1.0 (Full Frame),1
Crop-Faktor 1.0 (Kleinbildformat),1
Crop-factor 1.1,1.1
Crop-Faktor 1.1,1.1
Crop-factor 1.3 (APS-H),1.267
Crop-Faktor 1.3 (APS-H),1.267
Crop-factor 1.5 (APS-C),1.53
Crop-Faktor 1.5 (APS-C),1.53
Crop-factor 1.6 (APS-C),1.611
Crop-Faktor 1.6 (Canon APS-C),1.611
Crop-factor 1.7,1.739
Crop-Faktor 1.7 (Sigma),1.739
Crop-factor 2.0 (Four-Thirds),2
Crop-Faktor 2.0 (Four-Thirds),2
Canon EOS M,1.613
EOS M,1.613
Canon EOS M2,1.613
EOS M2,1.613
Canon EOS M3,1.613
EOS M3,1.613
Canon EOS M5,1.613
EOS M5,1.613
Canon EOS M6,1.613
EOS M6,1.613
Canon EOS M10,1.613
EOS M10,1.613
Canon EOS M50,1.613
EOS M50,1.613
Canon EOS M100,1.613
EOS M100,1.613
X-Pro1,1.529
X-Pro2,1.528
X-E1,1.529
X-E2,1.529
X-E2S,1.529
X-T1,1.529
X-T2,1.528
X-M1,1.529
X-A1,1.529
X-A2,1.529
X-T10,1.529
X-T20,1.529
Nikon 1 S1,2.727
1 S1,2.727
Nikon 1 V1,2.727
1 V1,2.727
Nikon 1 J1,2.727
1 J1,2.727
Nikon 1 AW1,2.727
1 AW1,2.727
Nikon 1 S2,2.727
1 S2,2.727
Nikon 1 V2,2.727
1 V2,2.727
Nikon 1 J2,2.727
1 J2,2.727
Nikon 1 V3,2.727
1 V3,2.727
Nikon 1 J3,2.727
1 J3,2.727
Nikon 1 J4,2.727
1 J4,2.727
Nikon 1 J5,2.727
1 J5,2.727
E-P1,2
E-P2,2
E-P3,2
E-P5,2
E-PL1,2
E-PL1s,2
E-PL2,2
E-PL3,2
E-PL5,2
E-PL6,2
E-PL7,2
E-PL8,2
E-PM1,2
E-PM2,2
E-M1,2
E-M1MarkII,2
E-M5,2
E-M5MarkII,2
E-M10,2
E-M10MarkII,2
E-M10 II,2
E-M10 Mark III,2
E-M10 III,2
PEN-F,2
DMC-G1,2
DMC-GF1,2
DMC-GH1,2
DMC-GM1,2
DMC-GX1,2
DMC-G2,2
DMC-GF2,2
DMC-GH2,2
DMC-G3,2
DMC-GF3,2
DMC-GH3,2
DMC-GH4,2
DC-GH5,2
DMC-G5,2
DMC-GF5,2
DMC-G6,2
DMC-GF6,2
DMC-G7,2
DMC-GF7,2
DMC-GX7,2
DMC-G10,2
DMC-GM5,2
DMC-GX8,2
DMC-G80,2
DMC-G81,2
DMC-G85,2
DMC-GX80,2
DMC-GX85,2
Pentax Q,5.53
Pentax Q7,4.6
Pentax Q10,5.53
EK-GN120,1.531
Galaxy NX,1.531
NX10,1.525
NX11,1.525
NX100,1.525
NX1000,1.525
NX20,1.525
NX200,1.525
NX210,1.525
NX300,1.531
NX300M,1.531
NX500,1.531
NX1100,1.531
NX2000,1.531
NX3000,1.531
NX1,1.531
NX5,1.525
NX30,1.531
NX mini,2.727
sd Quattro,1.523
NEX-3,1.534
NEX-C3,1.534
NEX-F3,1.534
NEX-3N,1.534
NEX-5,1.534
NEX-5N,1.534
NEX-5R,1.534
NEX-5T,1.534
NEX-6,1.534
NEX-7,1.534
ILCE-6000,1.534
Alpha 6000,1.534
ILCE-3000,1.534
Alpha 3000,1.534
ILCE-5000,1.534
Alpha 5000,1.534
ILCE-5100,1.534
Alpha 5100,1.534
ILCE-7,1
Alpha 7,1
ILCE-7R,1
Alpha 7R,1
ILCE-7RM2,1
Alpha 7R II,1
ILCE-7S,1
Alpha 7S,1
ILCE-7M2,1
Alpha 7 II,1
ILCE-6300,1.534
Alpha 6300,1.534
ILCE-6500,1.534
Alpha 6500,1.534
ILCE-9,1
Alpha 9,1
Lumia 1020,3.93
Lumia 950,6.02
Lumia 950 XL,6.02
R-D1,1.525
LG-H815,6.34
LG G4,6.34
Lumia 1520,6.26
Leica M (Typ 240),1
Canon EOS 6D,1.005
EOS 6D,1.005
Canon EOS 6D Mark II,1
EOS 6D Mark II,1
Canon EOS 5D Mark IV,1
EOS 5D Mark IV,1
Canon EOS 5D Mark III,1
EOS 5D Mark III,1
Canon EOS 5D Mark II,1
EOS 5D Mark II,1
Canon EOS 5D,1
EOS 5D,1
Canon EOS-1Ds,1
EOS-1Ds,1
Canon EOS-1Ds Mark II,1
EOS-1Ds Mark II,1
Canon EOS-1D Mark II,1.255
EOS-1D Mark II,1.255
